,quadrante,caracteristica
846,D-_R+,Canal_1
847,D-_R-,Canal_1
848,D-_R-,Canal_1
849,D-_R-,Canal_1
850,D-_R-,Canal_2
851,D-_R-,Canal_1
852,D-_R+,Canal_2
853,D-_R+,Canal_2
854,D+_R-,Canal_1
855,D-_R-,Canal_1
856,D+_R+,Canal_1
857,D+_R-,Canal_1
858,D+_R-,Canal_1
859,D-_R+,Canal_2
860,D+_R+,Canal_2
861,D-_R-,Canal_2
862,D-_R-,Canal_1
863,D+_R+,Canal_2
864,D-_R-,Canal_2
865,D+_R-,Canal_2
866,D+_R+,Canal_2
867,D+_R+,Canal_1
868,D+_R-,Canal_2
869,D+_R+,Canal_2
870,D+_R+,Canal_1
871,D+_R+,Canal_1
872,D-_R-,Canal_2
873,D+_R-,Canal_1
874,D-_R-,Canal_2
875,D-_R+,Canal_2
876,D+_R-,Canal_1
877,D+_R+,Canal_1
878,D+_R-,Canal_1
879,D+_R+,Canal_2
880,D+_R+,Canal_2
881,D+_R-,Canal_2
882,D+_R+,Canal_1
883,D+_R+,Canal_1
884,D+_R-,Canal_1
885,D+_R+,Canal_1
886,D+_R-,Canal_1
887,D-_R-,Canal_2
888,D-_R+,Canal_2
889,D-_R-,Canal_2
890,D+_R-,Canal_2
891,D+_R-,Canal_1
892,D+_R+,Canal_1
893,D+_R+,Canal_1
894,D+_R+,Canal_2
895,D+_R+,Canal_2
896,D+_R+,Canal_2
897,D+_R-,Canal_2
898,D+_R-,Canal_1
899,D+_R+,Canal_1
900,D+_R+,Canal_1
901,D+_R-,Canal_2
902,D-_R-,Canal_2
903,D-_R+,Canal_2
904,D-_R+,Canal_2
905,D+_R-,Canal_1
906,D+_R-,Canal_1
907,D+_R+,Canal_1
908,D+_R+,Canal_1
909,D-_R-,Canal_2
910,D+_R-,Canal_1
911,D-_R+,Canal_2
912,D-_R-,Canal_2
913,D-_R-,Canal_1
914,D-_R+,Canal_2
915,D-_R+,Canal_2
916,D-_R+,Canal_1
917,D+_R-,Canal_1
918,D-_R-,Canal_2
919,D-_R-,Canal_1
920,D-_R+,Canal_2
921,D-_R-,Canal_2
922,D-_R-,Canal_2
923,D-_R-,Canal_1
924,D-_R+,Canal_1
925,D+_R-,Canal_1
926,D+_R+,Canal_2
927,D+_R+,Canal_2
928,D+_R+,Canal_1
929,D+_R+,Canal_1
930,D+_R-,Canal_2
931,D+_R-,Canal_1
932,D+_R+,Canal_1
933,D-_R+,Canal_1
934,D-_R-,Canal_2
935,D-_R+,Canal_2
936,D+_R-,Canal_1
937,D-_R+,Canal_2
938,D-_R+,Canal_1
939,D+_R-,Canal_1
940,D-_R-,Canal_2
941,D-_R+,Canal_2
942,D-_R+,Canal_2
943,D+_R-,Canal_1
944,D-_R-,Canal_2
945,D+_R-,Canal_1
946,D+_R-,Canal_1
947,D-_R+,Canal_1
948,D-_R+,Canal_2
949,D-_R+,Canal_2
950,D+_R+,Canal_1
951,D+_R-,Canal_2
